UP,FAZENDA,TRANSPORTADOR,DIA,MES,DB,RSP,QTD_VEICULOS,VOLUME
S5AW14,PIRACEMA_GLEBA PULADOR - DX,Pastori,1,5,467.55335131606887,1.3785303023915199,27,2673.0
S3AX04,INDIANA II,Rampazo,1,5,471.0267981311363,1.511823288806421,9,939.0
S3AX06,INDIANA II,Rampazo,1,5,473.8901876161138,1.5502069140812391,12,847.6
S6C335,FORTALEZA,Tover,1,5,462.15749645501194,1.5198740867952,14,1940.4
S5AW13,PIRACEMA_GLEBA PULADOR - DX,Pastori,2,5,471.88326453558943,1.4101627217065384,27,2673.0
S3AX04,INDIANA II,Rampazo,2,5,471.0267981311363,1.511823288806421,9,361.0
S3AX06,INDIANA II,Rampazo,2,5,473.8901876161138,1.5502069140812391,12,1425.6
S6C335,FORTALEZA,Tover,2,5,462.15749645501194,1.5198740867952,14,1940.4
S5AW13,PIRACEMA_GLEBA PULADOR - DX,Pastori,3,5,471.88326453558943,1.4101627217065384,27,2673.0
S3AX06,INDIANA II,Rampazo,3,5,473.8901876161138,1.5502069140812391,21,1786.6
S6C335,FORTALEZA,Tover,3,5,462.15749645501194,1.5198740867952,14,1940.4
S5AW05,PIRACEMA_GLEBA PULADOR - DX,Pastori,4,5,450.0,1.44,16,1584.0
S5AW13,PIRACEMA_GLEBA PULADOR - DX,Pastori,4,5,471.88326453558943,1.4101627217065384,11,1089.0
S3AX03,INDIANA II,Rampazo,4,5,410.08188877940256,1.3022261539839008,10,1171.45
S3AX06,INDIANA II,Rampazo,4,5,473.8901876161138,1.5502069140812391,11,675.15
S6C297,FORTALEZA,Tover,4,5,408.37627157534126,1.3673991120765037,14,1880.4
S5AW05,PIRACEMA_GLEBA PULADOR - DX,Pastori,5,5,450.0,1.44,14,1386.0
S5AW13,PIRACEMA_GLEBA PULADOR - DX,Pastori,5,5,471.88326453558943,1.4101627217065384,13,1286.99
S3AX03,INDIANA II,Rampazo,5,5,410.08188877940256,1.3022261539839008,9,952.62
S3AX06,INDIANA II,Rampazo,5,5,473.8901876161138,1.5502069140812391,12,833.99
S6C297,FORTALEZA,Tover,5,5,408.37627157534126,1.3673991120765037,14,1940.4
S5AW05,PIRACEMA_GLEBA PULADOR - DX,Pastori,6,5,450.0,1.44,25,1990.0
S3AX01,INDIANA II,Rampazo,6,5,476.35931165453064,1.546496658710454,21,2494.8
S6C297,FORTALEZA,Tover,6,5,408.37627157534126,1.3673991120765037,7,970.2
S6C334,FORTALEZA,Tover,6,5,458.5508180763908,1.5052059546579886,7,970.2
S5AW14,PIRACEMA_GLEBA PULADOR - DX,Pastori,7,5,467.55335131606887,1.3785303023915199,27,2673.0
S3AX01,INDIANA II,Rampazo,7,5,476.35931165453064,1.546496658710454,21,1899.27
S6C334,FORTALEZA,Tover,7,5,458.5508180763908,1.5052059546579886,14,1831.2
S5AW14,PIRACEMA_GLEBA PULADOR - DX,Pastori,8,5,467.55335131606887,1.3785303023915199,27,2512.94
S3AX01,INDIANA II,Rampazo,8,5,476.35931165453064,1.546496658710454,21,1946.66
S6C334,FORTALEZA,Tover,8,5,458.5508180763908,1.5052059546579886,14,1940.4
S5AW14,PIRACEMA_GLEBA PULADOR - DX,Pastori,9,5,467.55335131606887,1.3785303023915199,27,2673.0
S3AX01,INDIANA II,Rampazo,9,5,476.35931165453064,1.546496658710454,21,2494.8
S6C334,FORTALEZA,Tover,9,5,458.5508180763908,1.5052059546579886,14,1232.2
S5AW14,PIRACEMA_GLEBA PULADOR - DX,Pastori,10,5,467.55335131606887,1.3785303023915199,27,2666.81
S3AX02,INDIANA II,Rampazo,10,5,475.0824972033116,1.5401280319753075,21,2390.89
S6C298,FORTALEZA,Tover,10,5,475.5922896583338,1.6221749557422769,14,1342.3
S5AW14,PIRACEMA_GLEBA PULADOR - DX,Pastori,11,5,467.55335131606887,1.3785303023915199,27,2661.33
S3AX01,INDIANA II,Rampazo,11,5,476.35931165453064,1.546496658710454,9,1064.17
S3AX02,INDIANA II,Rampazo,11,5,475.0824972033116,1.5401280319753075,12,1425.6
S6C298,FORTALEZA,Tover,11,5,475.5922896583338,1.6221749557422769,14,1248.9
S5AW14,PIRACEMA_GLEBA PULADOR - DX,Pastori,12,5,467.55335131606887,1.3785303023915199,27,2673.0
S3AX01,INDIANA II,Rampazo,12,5,476.35931165453064,1.546496658710454,21,1974.8
S6C298,FORTALEZA,Tover,12,5,475.5922896583338,1.6221749557422769,8,1108.8
S6C335,FORTALEZA,Tover,12,5,462.15749645501194,1.5198740867952,6,643.4
S5AW13,PIRACEMA_GLEBA PULADOR - DX,Pastori,13,5,471.88326453558943,1.4101627217065384,27,2519.2
S5AK08,TURVO III (LEX),Rampazo,13,5,484.2538258973078,1.515093704135877,21,1940.4
S6C335,FORTALEZA,Tover,13,5,462.15749645501194,1.5198740867952,14,1940.4
S5AW13,PIRACEMA_GLEBA PULADOR - DX,Pastori,14,5,471.88326453558943,1.4101627217065384,27,2149.6
S5AK08,TURVO III (LEX),Rampazo,14,5,484.2538258973078,1.515093704135877,21,1940.4
S6BG12,SINIMBU,Tover,14,5,478.1907425638097,1.5321403213808318,14,2310.0
S5AW13,PIRACEMA_GLEBA PULADOR - DX,Pastori,15,5,471.88326453558943,1.4101627217065384,27,2404.75
S5AK08,TURVO III (LEX),Rampazo,15,5,484.2538258973078,1.515093704135877,21,1940.4
S6BG08,SINIMBU,Tover,15,5,477.26180002542424,1.5346621322526182,6,805.0
S6BG12,SINIMBU,Tover,15,5,478.1907425638097,1.5321403213808318,8,1249.85
S5AW09,PIRACEMA_GLEBA PULADOR - DX,Pastori,16,5,485.30023274972274,1.4031366250752249,10,760.4
S5AW13,PIRACEMA_GLEBA PULADOR - DX,Pastori,16,5,471.88326453558943,1.4101627217065384,15,1485.0
S5AK08,TURVO III (LEX),Rampazo,16,5,484.2538258973078,1.515093704135877,9,740.8
S5AK09,TURVO III (LEX),Rampazo,16,5,485.00174033075893,1.513739550085731,12,1108.8
S6BG08,SINIMBU,Tover,16,5,477.26180002542424,1.5346621322526182,7,1155.0
S6BG11,SINIMBU,Tover,16,5,479.286553196587,1.5425665925371712,7,1150.0
S5AW09,PIRACEMA_GLEBA PULADOR - DX,Pastori,17,5,485.30023274972274,1.4031366250752249,26,2559.6
S5AK08,TURVO III (LEX),Rampazo,17,5,484.2538258973078,1.515093704135877,11,1016.4
S5AK09,TURVO III (LEX),Rampazo,17,5,485.00174033075893,1.513739550085731,10,924.0
S6BG10,SINIMBU,Tover,17,5,479.65062513371606,1.5474716699257756,7,1100.0
S6BG14,SINIMBU,Tover,17,5,481.23848707688614,1.5490566931886653,5,800.0
S5AW10,PIRACEMA_GLEBA PULADOR - DX,Pastori,18,5,489.6578141156763,1.4414397793136209,27,2620.76
S5AK08,TURVO III (LEX),Rampazo,18,5,484.2538258973078,1.515093704135877,12,979.2
S5AK09,TURVO III (LEX),Rampazo,18,5,485.00174033075893,1.513739550085731,9,831.6
S6BG12,SINIMBU,Tover,18,5,478.1907425638097,1.5321403213808318,14,1968.44
S5AW10,PIRACEMA_GLEBA PULADOR - DX,Pastori,19,5,489.6578141156763,1.4414397793136209,27,2659.76
S5AK09,TURVO III (LEX),Rampazo,19,5,485.00174033075893,1.513739550085731,19,1546.45
S6BG12,SINIMBU,Tover,19,5,478.1907425638097,1.5321403213808318,14,2193.78
S5AW10,PIRACEMA_GLEBA PULADOR - DX,Pastori,20,5,489.6578141156763,1.4414397793136209,27,2673.0
S5AK09,TURVO III (LEX),Rampazo,20,5,485.00174033075893,1.513739550085731,21,1481.22
S6BG12,SINIMBU,Tover,20,5,478.1907425638097,1.5321403213808318,14,2245.78
S5AW10,PIRACEMA_GLEBA PULADOR - DX,Pastori,21,5,489.6578141156763,1.4414397793136209,27,2673.0
S5AK09,TURVO III (LEX),Rampazo,21,5,485.00174033075893,1.513739550085731,19,1694.86
S6BG12,SINIMBU,Tover,21,5,478.1907425638097,1.5321403213808318,14,2032.14
S5AW10,PIRACEMA_GLEBA PULADOR - DX,Pastori,22,5,489.6578141156763,1.4414397793136209,27,2149.6
S5AK10,TURVO III (LEX),Rampazo,22,5,494.9874225687377,1.443982454918312,21,1940.4
S6BG13,SINIMBU,Tover,22,5,482.77694359091134,1.5621938037129575,14,2310.0
S5AK10,TURVO III (LEX),Pastori,23,5,494.9874225687377,1.443982454918312,27,2469.6
S5AK10,TURVO III (LEX),Rampazo,23,5,494.9874225687377,1.443982454918312,21,1940.4
S6BG13,SINIMBU,Tover,23,5,482.77694359091134,1.5621938037129575,14,1990.0
S5AK08,TURVO III (LEX),Pastori,24,5,484.2538258973078,1.515093704135877,27,2494.8
S5AK08,TURVO III (LEX),Rampazo,24,5,484.2538258973078,1.515093704135877,21,1940.4
S6C421,SIRIEMA,Tover,24,5,406.6663018461977,1.28900273285943,14,2190.0
S5AK08,TURVO III (LEX),Pastori,25,5,484.2538258973078,1.515093704135877,11,671.2
S5AK09,TURVO III (LEX),Pastori,25,5,485.00174033075893,1.513739550085731,16,1478.4
S5AK09,TURVO III (LEX),Rampazo,25,5,485.00174033075893,1.513739550085731,21,1940.4
S6C421,SIRIEMA,Tover,25,5,406.6663018461977,1.28900273285943,14,2310.0
S5AK10,TURVO III (LEX),Pastori,26,5,494.9874225687377,1.443982454918312,27,2494.8
S5AK09,TURVO III (LEX),Rampazo,26,5,485.00174033075893,1.513739550085731,9,763.6
S5AK10,TURVO III (LEX),Rampazo,26,5,494.9874225687377,1.443982454918312,12,1108.8
S6BX01,SANTO ANTONIO SALIG.,Tover,26,5,450.0,1.44,14,2032.8
S5AK10,TURVO III (LEX),Pastori,27,5,494.9874225687377,1.443982454918312,27,2466.13
S5AK09,TURVO III (LEX),Rampazo,27,5,485.00174033075893,1.513739550085731,9,792.27
S5AK10,TURVO III (LEX),Rampazo,27,5,494.9874225687377,1.443982454918312,12,1108.8
S6BX01,SANTO ANTONIO SALIG.,Tover,27,5,450.0,1.44,14,2032.8
S5AK09,TURVO III (LEX),Pastori,28,5,485.00174033075893,1.513739550085731,27,2494.8
S5AK05,TURVO III (LEX),Rampazo,28,5,493.2032472949478,1.4790448823362998,21,1872.4
S6BX01,SANTO ANTONIO SALIG.,Tover,28,5,450.0,1.44,14,2032.8
S5AK05,TURVO III (LEX),Pastori,29,5,493.2032472949478,1.4790448823362998,27,2494.8
S5AK05,TURVO III (LEX),Rampazo,29,5,493.2032472949478,1.4790448823362998,12,1108.8
S5AK09,TURVO III (LEX),Rampazo,29,5,485.00174033075893,1.513739550085731,9,763.6
S6BX01,SANTO ANTONIO SALIG.,Tover,29,5,450.0,1.44,14,2032.8
S5AK09,TURVO III (LEX),Pastori,30,5,485.00174033075893,1.513739550085731,27,2494.8
S5AK05,TURVO III (LEX),Rampazo,30,5,493.2032472949478,1.4790448823362998,9,763.6
S5AK09,TURVO III (LEX),Rampazo,30,5,485.00174033075893,1.513739550085731,12,1108.8
S6BX01,SANTO ANTONIO SALIG.,Tover,30,5,450.0,1.44,14,2032.8
S5AK05,TURVO III (LEX),Pastori,31,5,493.2032472949478,1.4790448823362998,27,2494.8
S5AK09,TURVO III (LEX),Rampazo,31,5,485.00174033075893,1.513739550085731,21,1872.4
S6BX01,SANTO ANTONIO SALIG.,Tover,31,5,450.0,1.44,14,2032.8
