UP,FAZENDA,TRANSPORTADOR,DIA,MES,DB,RSP,QTD_VEICULOS,VOLUME
S5AW14,PIRACEMA_GLEBA PULADOR - DX,Pastori,1,5,467.55335131606887,1.3785303023915199,27,2578.6
S5AW14,PIRACEMA_GLEBA PULADOR - DX,Rampazo,1,5,467.55335131606887,1.3785303023915199,19,1881.0
S6C335,FORTALEZA,Tover,1,5,462.15749645501194,1.5198740867952,14,1940.4
S5AW14,PIRACEMA_GLEBA PULADOR - DX,Pastori,2,5,467.55335131606887,1.3785303023915199,27,2673.0
S5AW14,PIRACEMA_GLEBA PULADOR - DX,Rampazo,2,5,467.55335131606887,1.3785303023915199,21,1786.6
S6C335,FORTALEZA,Tover,2,5,462.15749645501194,1.5198740867952,14,1940.4
S5AW14,PIRACEMA_GLEBA PULADOR - DX,Pastori,3,5,467.55335131606887,1.3785303023915199,27,2657.8
S5AW14,PIRACEMA_GLEBA PULADOR - DX,Rampazo,3,5,467.55335131606887,1.3785303023915199,21,2079.0
S6C335,FORTALEZA,Tover,3,5,462.15749645501194,1.5198740867952,12,1663.2
S5AW13,PIRACEMA_GLEBA PULADOR - DX,Pastori,4,5,471.88326453558943,1.4101627217065384,27,2673.0
S5AW13,PIRACEMA_GLEBA PULADOR - DX,Rampazo,4,5,471.88326453558943,1.4101627217065384,21,2079.0
S6C298,FORTALEZA,Tover,4,5,475.5922896583338,1.6221749557422769,12,1648.0
S5AW13,PIRACEMA_GLEBA PULADOR - DX,Pastori,5,5,471.88326453558943,1.4101627217065384,27,2380.6
S5AW13,PIRACEMA_GLEBA PULADOR - DX,Rampazo,5,5,471.88326453558943,1.4101627217065384,21,2079.0
S6C298,FORTALEZA,Tover,5,5,475.5922896583338,1.6221749557422769,14,1940.4
